Calibration_Bin,Bin_Confidence,Bin_Accuracy,Reliability_Error,Bin_Count
1,0.061009646952152254,0.0,0.061009646952152254,8
2,0.14519537861148515,0.16666666666666666,0.21528098856409392,8
3,0.25569973460265566,0.49047619047619045,0.3820250816288448,17
4,0.35640969868235345,0.4891774891774892,0.2630591567110439,31
5,0.4464266862570768,0.5103174603174603,0.27510963549732237,54
6,0.5451902513121131,0.6257783882783883,0.17997640161912215,69
7,0.6492208764525754,0.7314574314574315,0.19475030723071654,67
8,0.7489502436857376,0.8497835497835499,0.22669872167506078,34
9,0.841756933927536,0.7833333333333333,0.24453639785448714,24
10,0.9352712333202362,1.0,0.0647287666797638,12
